sex,age,address,internet,Medu,Fedu,famrel,health,reason,higher,traveltime,studytime,paid_mat,paid_por,failures_mat,failures_por,absences_mat,absences_por,G1_mat,G1_por,G2_mat,G2_por,G3_mat,G3_por
F,18,U,no,4,4,4,3,course,yes,2,2,no,no,0,0,6,4,5,0,6,11,6,11
F,17,U,yes,1,1,5,3,course,yes,1,2,no,no,0,0,4,2,5,9,5,11,6,11
F,15,U,yes,1,1,4,3,other,yes,1,2,yes,no,3,0,10,6,7,12,8,13,10,12
F,15,U,yes,4,2,3,5,home,yes,1,3,yes,no,0,0,2,0,15,14,14,14,15,14
F,16,U,no,3,3,4,5,home,yes,1,2,yes,no,0,0,4,0,6,11,10,13,10,13
M,16,U,yes,4,3,5,5,reputation,yes,1,2,yes,no,0,0,10,6,15,12,15,12,15,13
M,16,U,yes,2,2,4,3,home,yes,1,2,no,no,0,0,0,0,12,13,12,12,11,13
F,17,U,no,4,4,4,1,home,yes,2,2,no,no,0,0,6,2,6,10,5,13,6,13
M,15,U,yes,3,2,4,1,home,yes,1,2,yes,no,0,0,0,0,16,15,18,16,19,17
M,15,U,yes,3,4,5,5,home,yes,1,2,yes,no,0,0,0,0,14,12,15,12,15,13
F,15,U,yes,4,4,3,2,reputation,yes,1,2,yes,no,0,0,0,2,10,14,8,14,9,14
F,15,U,yes,2,1,5,4,reputation,yes,3,3,no,no,0,0,4,0,10,10,12,12,12,13
M,15,U,yes,4,4,4,5,course,yes,1,1,yes,no,0,0,2,0,14,12,14,13,14,12
M,15,U,yes,4,3,5,3,course,yes,2,2,yes,no,0,0,2,0,10,12,10,12,11,13
M,15,U,yes,2,2,4,3,home,yes,1,3,no,no,0,0,0,0,14,14,16,14,16,15
F,16,U,yes,4,4,4,2,home,yes,1,1,no,no,0,0,4,6,14,17,14,17,14,17
F,16,U,yes,4,4,3,2,reputation,yes,1,3,yes,no,0,0,6,10,13,13,14,13,14,14
F,16,U,no,3,3,5,4,reputation,yes,3,2,no,no,0,0,4,2,8,13,10,14,10,14
M,17,U,yes,3,2,5,5,course,yes,1,1,no,yes,3,3,16,2,6,8,5,8,5,7
M,16,U,yes,4,3,3,5,home,yes,1,1,yes,no,0,0,4,6,8,12,10,12,10,12
M,15,U,yes,4,3,4,1,reputation,yes,1,2,no,no,0,0,0,0,13,12,14,13,15,14
M,15,U,yes,4,4,5,5,other,yes,1,1,yes,yes,0,0,0,0,12,11,15,12,15,12
M,16,U,yes,4,2,4,5,course,yes,1,2,no,no,0,0,2,0,15,12,15,13,16,14
M,16,U,yes,2,2,5,5,reputation,yes,2,2,no,no,0,0,0,2,13,10,13,10,12,10
F,15,R,yes,2,4,4,5,course,yes,1,3,yes,no,0,0,2,2,10,10,9,11,8,10
F,16,U,yes,2,2,1,5,home,yes,1,1,yes,no,2,0,14,6,6,10,9,11,8,12
M,15,U,yes,2,2,4,5,home,yes,1,1,yes,no,0,0,2,8,12,11,12,12,11,12
M,15,U,yes,4,2,2,1,other,yes,1,1,yes,no,0,0,4,0,15,11,16,11,15,11
M,16,U,yes,3,4,5,5,home,yes,1,2,no,yes,0,0,4,2,11,12,11,12,11,13
M,16,U,yes,4,4,4,5,home,yes,1,2,yes,yes,0,0,16,4,10,12,12,11,11,12
M,15,U,yes,4,4,5,5,home,yes,1,2,yes,yes,0,0,0,0,9,10,11,11,12,11
M,15,U,yes,4,4,4,5,reputation,yes,2,2,no,no,0,0,0,2,17,15,16,15,17,15
M,15,R,yes,4,3,4,5,course,yes,1,2,no,no,0,0,0,0,17,13,16,14,16,15
M,15,U,yes,3,3,5,2,course,yes,1,2,no,no,0,0,0,0,8,13,10,12,12,12
M,16,U,yes,3,2,5,5,home,yes,1,1,yes,no,0,0,0,4,12,12,14,12,15,12
F,15,U,no,2,3,3,5,other,yes,2,1,no,no,0,0,0,4,8,11,7,11,6,11
M,15,U,yes,4,3,5,4,home,yes,1,3,no,no,0,0,2,0,15,14,16,14,18,14
M,16,R,yes,4,4,2,5,reputation,yes,2,3,no,no,0,0,7,4,15,13,16,13,15,13
F,15,R,yes,3,4,4,5,course,yes,1,3,yes,no,0,0,2,2,12,11,12,12,11,12
F,15,R,no,2,2,4,2,reputation,yes,1,1,yes,no,0,0,8,8,14,14,13,13,13,12
F,16,U,yes,2,2,3,3,home,yes,2,2,no,no,1,0,25,16,7,11,10,11,11,10
M,15,U,yes,4,4,5,5,home,yes,1,1,no,no,0,0,8,8,12,10,12,11,12,11
M,15,U,yes,4,4,4,5,course,yes,1,2,no,no,0,0,2,0,19,14,18,15,18,15
M,15,U,yes,2,2,5,1,course,yes,1,1,no,no,0,0,0,0,8,9,8,10,11,10
F,16,U,yes,2,2,4,5,course,yes,2,2,no,no,1,1,14,14,10,10,10,11,9,11
F,15,U,yes,4,3,5,5,course,yes,1,2,yes,yes,0,0,8,4,8,10,8,11,6,11
F,16,U,yes,3,3,2,3,home,yes,1,2,no,no,0,0,12,6,11,13,12,12,11,13
M,16,U,yes,4,3,4,2,reputation,yes,1,4,no,no,0,0,4,2,19,17,19,17,20,17
M,15,U,no,4,2,4,5,home,yes,1,2,yes,no,0,0,2,4,15,11,15,12,14,13
F,15,U,yes,4,4,4,3,other,yes,1,2,no,no,1,0,2,2,7,13,7,12,7,12
F,16,U,yes,2,2,4,4,course,yes,3,2,yes,no,0,0,2,0,12,14,13,13,13,13
F,15,U,yes,4,2,4,5,other,yes,1,2,yes,no,0,0,2,0,11,16,13,14,13,16
M,15,U,no,4,2,5,5,other,yes,2,1,no,no,1,0,6,4,11,10,11,9,10,9
F,15,U,yes,4,4,3,5,course,yes,1,1,yes,no,0,0,0,0,8,13,10,12,11,12
F,15,U,yes,3,3,5,1,other,yes,1,1,yes,no,0,0,6,0,10,13,13,12,13,13
F,16,U,yes,2,1,5,2,other,yes,1,2,yes,no,0,0,8,2,8,12,9,13,10,12
F,15,U,yes,4,3,4,1,reputation,yes,1,2,yes,no,0,0,0,0,14,15,15,14,15,15
M,15,U,no,4,4,3,5,reputation,yes,1,2,no,no,0,0,4,8,14,15,15,15,15,16
M,15,U,yes,1,2,4,5,home,yes,1,2,no,no,0,0,2,0,9,14,10,13,9,14
F,16,U,yes,4,2,4,5,course,yes,1,2,no,yes,0,0,2,2,15,16,16,15,16,16
F,16,R,no,4,4,2,4,other,yes,1,2,no,no,0,0,6,0,10,17,11,16,11,16
F,16,U,yes,1,1,5,5,course,yes,4,1,no,no,0,0,6,0,10,10,8,10,11,16
F,16,U,yes,1,2,4,1,reputation,yes,1,2,no,no,0,0,4,0,8,13,10,13,9,10
F,16,U,yes,4,3,3,4,home,yes,1,3,yes,no,0,0,2,0,10,14,9,13,9,13
F,15,U,yes,4,3,4,2,reputation,yes,1,2,no,no,0,0,0,0,10,13,10,12,10,12
F,16,U,yes,4,3,5,1,course,yes,3,2,no,no,0,0,2,2,16,16,15,15,15,16
M,15,U,yes,4,4,1,3,reputation,yes,1,4,no,no,0,0,4,0,13,11,13,12,12,12
F,16,U,yes,3,1,4,5,course,yes,1,4,yes,no,0,0,4,0,7,10,7,9,6,10
F,15,R,yes,2,2,4,4,reputation,yes,2,2,yes,no,0,0,2,0,8,11,9,10,8,11
F,15,R,yes,3,1,4,3,reputation,yes,2,4,no,no,0,0,12,6,16,15,16,15,16,15
M,16,U,yes,3,1,4,5,reputation,yes,2,4,yes,no,0,0,0,2,13,13,15,11,15,11
M,15,U,yes,4,2,3,3,course,yes,1,4,no,no,0,0,0,0,10,11,10,9,10,10
F,15,R,yes,1,1,3,5,reputation,yes,1,2,no,no,2,0,2,2,8,13,6,11,5,11
M,16,U,no,3,1,5,5,reputation,yes,1,1,no,no,0,0,2,0,12,13,12,13,14,14
F,16,U,yes,3,3,4,5,home,yes,1,2,yes,no,0,0,54,4,11,11,12,11,11,11
M,15,U,yes,4,3,4,5,home,yes,1,2,yes,no,0,0,6,0,9,11,9,11,10,11
M,15,U,yes,4,0,3,1,course,yes,2,4,no,no,0,0,8,0,11,12,11,11,10,11
F,16,U,yes,2,2,5,3,reputation,yes,1,4,yes,no,0,0,0,1,11,13,11,13,11,13
M,17,U,yes,2,1,4,3,home,no,2,1,no,no,3,3,2,0,8,9,8,9,10,10
F,16,U,yes,3,4,2,3,course,yes,1,2,no,no,0,0,12,14,5,12,5,11,5,11
M,15,U,yes,2,3,3,3,course,yes,1,1,yes,no,0,0,2,0,10,11,12,11,12,12
M,15,U,yes,2,3,5,5,home,yes,1,3,yes,no,0,0,4,2,11,10,10,9,11,9
F,15,U,yes,3,2,4,5,reputation,yes,1,2,yes,no,0,0,10,4,7,12,6,11,6,11
M,15,U,yes,2,2,5,4,home,yes,2,2,yes,yes,0,0,4,2,15,13,15,12,15,13
F,15,U,yes,1,1,4,4,home,yes,1,2,no,no,0,0,2,2,9,13,10,12,10,12
F,15,U,yes,4,4,4,5,reputation,yes,2,2,yes,no,2,0,6,4,7,12,9,11,8,12
F,16,U,no,2,2,4,2,course,yes,1,2,no,no,0,0,4,6,8,13,7,11,6,11
F,15,U,yes,4,2,5,1,reputation,yes,1,3,no,no,0,0,4,4,13,15,14,15,14,15
M,16,U,yes,2,2,4,3,reputation,yes,2,2,yes,no,1,0,12,6,11,12,10,10,10,11
M,16,U,no,4,4,4,5,reputation,yes,1,2,no,no,0,0,18,6,8,9,6,9,7,10
F,16,U,yes,3,3,4,4,home,yes,1,3,yes,no,0,0,0,2,7,9,7,11,8,11
F,15,U,yes,4,3,4,1,reputation,yes,1,1,yes,no,0,0,4,6,16,14,17,13,18,13
F,16,U,no,3,1,3,2,home,yes,1,2,no,no,0,0,4,0,7,12,6,13,6,12
F,16,U,yes,4,2,5,1,home,yes,2,2,yes,no,0,0,0,2,11,13,10,14,10,14
M,15,U,yes,2,2,4,4,reputation,yes,1,4,no,no,0,0,6,2,11,11,13,12,14,12
F,15,R,yes,1,1,3,1,home,yes,2,4,yes,yes,1,0,2,4,7,13,10,13,10,13
M,16,R,yes,4,3,3,4,reputation,yes,2,1,no,yes,0,0,2,6,11,9,15,11,15,11
F,16,U,no,2,1,4,5,course,yes,1,2,yes,no,0,0,2,0,8,13,9,12,10,12
F,16,U,yes,4,4,5,1,reputation,yes,1,1,no,no,0,0,6,4,11,12,14,13,14,13
F,16,U,yes,4,3,5,3,course,yes,1,3,yes,no,0,0,0,2,7,12,9,13,8,13
M,16,U,yes,4,4,4,4,other,yes,1,1,yes,no,0,0,14,12,7,9,7,9,5,8
M,16,U,yes,4,4,4,4,other,yes,1,3,no,no,0,0,0,0,16,16,17,16,17,16
M,15,U,yes,4,4,5,5,course,yes,1,1,no,yes,0,0,4,2,10,12,13,13,14,12
F,15,U,yes,3,2,4,2,home,yes,2,2,yes,no,0,0,26,16,7,11,6,10,6,10
M,15,U,yes,3,4,5,1,course,yes,1,2,yes,no,0,0,0,0,16,16,18,16,18,16
F,15,U,no,3,3,4,4,reputation,yes,1,4,no,no,0,0,10,10,10,10,11,10,11,10
F,15,U,yes,2,2,5,3,course,yes,1,4,yes,no,0,0,8,4,7,10,8,10,8,10
M,16,U,yes,3,3,5,5,home,yes,1,3,no,no,0,0,2,4,16,13,18,14,18,14
M,15,R,yes,4,4,1,1,home,yes,4,4,yes,no,0,0,6,8,10,12,13,10,13,11
F,16,U,yes,4,4,5,4,other,yes,1,3,yes,no,0,0,4,2,14,15,15,15,16,14
M,15,U,yes,4,4,5,4,course,yes,1,1,no,no,0,0,6,4,18,13,19,14,19,14
F,16,R,yes,3,3,4,2,reputation,yes,1,3,no,no,1,0,0,4,7,11,10,11,10,11
F,16,U,yes,2,2,3,5,home,yes,1,2,no,no,1,1,6,12,10,8,13,10,13,10
M,15,U,yes,4,2,3,3,course,yes,1,1,no,no,0,0,10,10,18,18,19,17,19,18
M,15,R,yes,2,1,5,5,reputation,yes,1,2,no,no,0,0,8,4,9,10,9,9,9,10
M,16,U,yes,4,4,5,5,course,yes,1,2,no,no,0,0,2,6,15,16,15,14,16,14
M,15,U,no,4,4,4,2,reputation,yes,2,2,no,no,0,0,2,4,11,16,13,15,14,16
M,16,U,yes,3,3,5,5,home,yes,2,1,no,no,0,0,0,6,13,14,14,14,13,15
M,17,R,yes,1,3,5,5,course,yes,3,2,no,no,1,1,20,14,9,12,7,11,8,11
M,15,U,yes,3,4,3,4,reputation,yes,1,1,no,no,0,0,6,2,14,14,13,13,13,14
F,15,U,yes,1,2,3,1,course,yes,1,2,no,no,0,0,2,0,16,14,15,14,15,14
M,15,U,yes,2,2,5,5,home,yes,1,4,yes,no,0,0,6,6,16,14,14,13,15,13
F,16,U,yes,2,4,4,5,course,yes,2,2,yes,no,0,0,2,2,13,14,13,12,13,13
M,16,U,yes,4,4,3,5,course,yes,1,1,no,no,0,0,18,4,14,12,11,13,13,13
F,16,U,yes,2,2,5,5,home,yes,1,2,yes,no,0,0,0,0,8,12,7,11,8,11
M,15,U,yes,3,4,5,5,home,yes,1,1,no,no,0,0,0,2,13,9,13,9,12,9
F,15,U,yes,3,4,5,1,home,yes,1,2,no,no,0,0,0,0,7,10,10,11,11,11
F,19,U,no,0,1,3,5,course,no,1,2,no,no,3,2,2,0,7,9,8,10,9,11
M,16,R,yes,4,4,3,4,course,yes,1,1,yes,no,0,0,8,8,18,14,18,14,18,15
F,15,R,yes,3,4,4,5,course,yes,2,3,no,no,2,0,0,0,12,10,0,11,0,12
F,15,U,yes,1,1,4,4,course,yes,3,1,no,no,0,0,0,6,8,11,0,12,0,13
F,17,U,yes,2,2,3,5,course,yes,1,1,no,no,0,0,12,2,10,13,13,12,12,12
F,16,U,yes,3,4,3,5,course,yes,1,1,no,no,0,0,16,12,12,15,11,13,11,14
M,15,R,no,3,4,5,5,course,yes,4,2,no,no,0,0,0,2,9,12,0,11,0,11
F,15,U,yes,4,4,4,5,course,yes,1,3,no,no,0,0,0,4,11,13,0,14,0,15
M,17,R,no,3,4,5,5,course,yes,3,2,no,no,0,0,0,2,10,10,0,9,0,10
F,16,U,yes,3,3,4,5,course,yes,2,1,no,no,2,0,0,4,4,9,0,9,0,10
M,16,U,no,1,1,4,5,course,yes,1,2,no,no,1,2,0,0,14,10,12,10,12,10
F,15,U,yes,4,4,4,5,course,yes,2,1,no,no,0,0,0,6,16,13,16,14,15,14
M,15,U,yes,4,3,2,3,course,yes,2,4,no,no,0,0,0,6,7,9,9,11,0,11
M,16,U,yes,2,2,2,2,reputation,yes,2,1,no,no,2,0,8,4,9,12,9,11,9,11
F,15,U,yes,4,4,4,5,course,yes,1,3,yes,no,0,0,2,2,9,13,11,13,11,13
F,16,U,yes,1,1,3,1,course,yes,1,1,no,no,0,0,2,4,14,10,14,11,13,11
M,17,U,yes,2,1,5,5,home,yes,1,1,no,no,3,0,0,22,5,9,0,7,0,6
F,15,U,yes,1,1,4,5,course,yes,1,2,yes,no,0,0,0,0,8,12,11,12,11,12
F,15,U,yes,3,2,3,3,home,yes,1,2,no,no,3,1,0,2,6,11,7,11,0,11
F,15,U,yes,1,2,4,5,course,yes,1,2,yes,no,0,0,2,6,10,13,11,12,11,13
M,16,U,yes,4,4,3,5,course,no,1,1,no,no,0,0,0,16,7,9,6,9,0,8
M,15,U,yes,2,1,4,5,course,yes,4,1,no,no,3,0,0,0,8,12,9,11,10,11
M,18,U,yes,1,1,2,4,course,no,1,1,no,no,3,2,0,0,6,11,5,9,0,0
M,16,U,no,2,1,4,5,course,yes,1,1,no,no,1,1,6,6,12,9,13,10,14,10
F,15,R,yes,3,3,4,3,reputation,yes,2,3,yes,yes,2,0,8,2,10,13,10,13,10,13
M,19,U,yes,3,2,4,4,home,no,1,1,no,no,3,0,0,6,5,11,0,9,0,11
F,17,U,no,4,4,4,4,course,yes,1,1,no,no,0,0,0,0,11,13,11,13,12,13
M,15,R,no,2,3,4,1,course,yes,1,2,yes,yes,0,0,2,0,11,7,8,8,8,8
M,17,R,no,1,2,2,5,reputation,yes,1,1,no,no,0,3,8,14,16,9,12,8,13,10
F,18,R,no,1,1,5,4,course,yes,3,1,no,no,3,3,6,6,9,11,8,10,10,11
M,16,R,no,2,2,4,3,course,yes,3,1,no,no,0,0,2,4,17,12,15,10,15,11
M,16,U,yes,3,3,4,5,course,yes,1,2,yes,no,1,1,4,0,10,10,12,10,12,1
M,17,R,yes,2,1,3,5,course,no,2,1,no,yes,2,1,0,8,7,8,6,8,0,9
M,17,R,no,1,1,5,5,course,no,4,2,no,no,3,0,0,0,5,8,8,8,7,8
M,16,U,yes,2,2,4,4,course,no,1,2,no,no,0,0,4,0,10,9,10,10,10,11
F,16,U,yes,4,2,4,3,home,yes,1,2,yes,no,0,0,0,0,14,17,15,17,16,18
F,16,U,yes,2,2,5,4,home,yes,1,2,yes,no,0,0,0,0,6,12,7,12,0,13
