sex,age,address,internet,Medu,Fedu,famrel,health,reason,higher,traveltime,studytime,paid_mat,paid_por,failures_mat,failures_por,absences_mat,absences_por,G1_mat,G1_por,G2_mat,G2_por,G3_mat,G3_por
F,16,U,yes,4,4,4,3,reputation,yes,1,2,yes,no,0,0,0,0,14,16,14,16,14,17
M,16,U,yes,3,4,3,2,course,yes,3,1,no,no,2,1,0,4,6,9,5,9,0,10
M,16,U,yes,1,0,4,3,reputation,yes,2,2,yes,no,0,0,2,0,13,16,15,17,16,18
M,17,U,yes,4,4,4,5,reputation,yes,1,2,yes,no,0,0,0,0,13,11,11,9,10,10
F,16,U,yes,1,3,4,3,home,yes,1,2,no,no,3,0,0,0,8,14,7,13,0,13
F,16,U,yes,3,3,4,4,reputation,yes,2,2,yes,no,0,0,4,0,10,14,11,14,9,15
M,17,U,yes,4,3,4,4,course,yes,2,2,yes,no,0,0,4,0,10,10,9,11,9,11
F,16,U,yes,2,2,3,5,reputation,yes,2,2,yes,no,0,0,2,0,13,13,13,12,11,14
M,17,U,yes,3,3,4,4,reputation,yes,1,2,no,no,0,0,4,4,6,11,5,9,6,10
M,16,R,yes,4,2,4,3,other,yes,1,1,no,no,0,0,10,8,10,10,8,9,9,11
M,17,U,yes,4,3,5,2,course,yes,1,2,no,yes,0,0,4,4,10,11,10,11,11,13
M,16,U,yes,4,3,3,3,home,yes,1,2,yes,yes,0,0,10,4,9,11,8,10,8,11
M,16,U,yes,3,3,4,3,home,yes,1,2,yes,no,0,0,2,0,12,11,13,12,12,13
F,17,U,no,2,4,5,5,reputation,yes,1,2,no,no,0,0,0,0,16,17,17,18,17,17
F,17,U,yes,3,3,5,1,reputation,yes,1,2,no,no,0,0,56,32,9,14,9,13,8,14
F,16,U,yes,3,2,1,1,reputation,yes,1,2,yes,no,0,0,14,8,12,14,13,15,12,16
M,17,U,yes,3,3,4,4,other,yes,1,2,no,no,0,0,12,6,12,11,12,13,11,14
M,16,U,yes,1,2,3,3,other,yes,1,1,yes,no,0,0,2,0,11,10,12,9,11,11
M,16,U,yes,2,1,4,5,course,yes,1,2,yes,no,0,0,0,0,15,13,15,14,15,16
F,17,U,yes,3,3,3,3,reputation,yes,1,2,no,no,0,0,6,10,8,12,7,13,9,14
M,17,R,no,1,2,3,3,home,yes,1,2,no,no,0,0,4,6,8,9,9,9,10,10
F,16,U,yes,2,3,4,2,course,yes,1,2,no,no,0,0,10,6,11,12,12,12,13,13
F,17,U,yes,1,1,5,3,course,yes,1,2,no,no,0,0,0,0,8,12,8,11,9,12
M,17,U,yes,1,2,4,5,other,yes,2,2,yes,no,0,0,12,16,7,10,8,11,8,12
M,16,R,yes,3,3,4,5,reputation,yes,1,1,no,no,0,0,8,0,8,11,9,10,10,10
M,16,U,yes,2,3,5,3,home,yes,2,1,no,no,0,0,0,0,13,13,14,12,14,12
F,17,U,yes,2,4,4,5,course,yes,1,2,no,no,0,0,0,8,14,14,15,15,15,16
M,17,U,yes,4,4,5,5,home,yes,1,1,no,no,0,0,4,4,17,13,15,13,16,14
M,16,R,yes,3,3,3,3,home,yes,3,1,yes,no,0,0,8,16,9,10,9,11,10,12
F,17,U,yes,4,4,4,2,home,yes,2,1,no,no,1,1,24,30,18,14,18,15,18,16
F,16,U,yes,4,4,4,3,reputation,yes,1,2,yes,no,0,0,0,0,9,11,9,10,10,11
F,16,U,yes,4,3,4,2,home,yes,1,2,no,no,0,0,2,2,16,14,16,14,16,15
F,16,U,no,2,3,4,4,reputation,yes,1,2,yes,no,0,0,6,4,8,11,10,12,10,12
F,17,U,no,1,1,4,1,course,yes,1,2,yes,no,0,0,4,0,9,14,9,15,10,15
F,17,R,yes,2,2,5,3,reputation,yes,1,1,no,no,0,0,18,21,7,13,6,13,6,13
F,16,R,yes,2,2,5,5,reputation,yes,2,4,yes,no,0,0,6,6,10,13,10,13,11,13
F,17,U,yes,3,4,4,5,home,yes,1,3,yes,yes,1,1,28,14,10,8,9,9,9,8
F,16,U,yes,3,1,2,4,course,yes,1,2,yes,no,3,0,5,2,7,11,7,11,7,12
F,16,U,yes,4,3,1,1,other,yes,1,2,yes,no,0,0,10,4,11,14,12,15,13,15
F,16,U,no,1,1,4,5,home,yes,2,1,yes,no,0,0,6,2,9,12,9,13,10,13
F,17,R,yes,4,3,4,4,reputation,yes,2,3,yes,no,0,0,6,0,7,11,7,12,7,12
F,19,U,yes,3,3,4,3,reputation,yes,1,4,yes,no,0,0,10,4,8,12,8,12,8,12
M,17,U,yes,4,4,5,3,home,yes,1,2,yes,no,0,0,13,15,12,13,12,12,13,12
F,16,U,yes,2,2,3,4,reputation,yes,1,2,yes,no,0,0,0,0,12,13,13,13,14,13
M,18,U,yes,2,2,4,5,home,yes,1,2,yes,no,1,0,15,10,6,12,7,11,8,11
F,17,R,no,4,4,5,3,other,yes,1,1,yes,no,0,0,12,6,8,12,10,11,10,11
F,17,U,yes,3,2,4,1,reputation,yes,2,2,yes,no,0,0,2,2,14,14,15,16,15,15
F,17,U,yes,4,3,3,1,reputation,yes,1,2,yes,no,2,0,22,16,6,11,6,9,4,10
M,18,U,yes,3,3,3,4,home,yes,1,2,yes,no,1,0,13,10,6,10,6,10,8,10
F,17,U,no,2,3,3,3,home,yes,2,1,yes,no,0,0,3,4,7,12,7,13,8,13
F,17,U,yes,2,2,4,4,course,yes,1,3,yes,no,0,0,4,0,9,12,10,12,10,13
F,17,R,yes,2,1,4,5,reputation,yes,2,2,no,no,0,0,2,0,6,11,6,10,6,11
F,17,U,no,1,1,4,5,reputation,yes,1,3,no,no,1,0,0,12,6,12,5,12,0,12
F,16,U,yes,2,3,2,3,other,yes,1,2,no,no,0,0,2,0,16,13,16,13,17,14
M,18,U,yes,2,2,3,4,home,yes,2,2,yes,yes,0,3,0,9,12,10,13,9,13,10
F,16,U,yes,4,4,5,5,home,yes,1,3,no,no,0,0,0,4,13,15,13,16,14,16
F,18,R,yes,3,1,5,4,reputation,yes,1,2,no,no,1,0,16,4,9,8,8,8,7,8
F,17,U,yes,3,2,5,3,course,yes,1,2,no,no,0,0,10,2,16,17,15,18,15,17
M,17,U,yes,2,3,5,3,reputation,yes,1,2,yes,no,0,0,2,0,12,10,11,11,12,11
M,18,U,yes,2,1,4,3,course,yes,4,2,yes,no,0,0,14,2,10,9,8,10,9,11
F,17,U,yes,2,1,3,3,course,yes,2,3,no,no,0,0,10,0,12,15,10,15,12,16
F,17,U,yes,4,3,3,3,reputation,yes,1,2,no,no,0,0,14,0,13,14,13,12,14,12
M,17,R,yes,2,2,4,1,course,yes,2,2,yes,no,0,0,4,0,11,12,11,13,11,13
M,17,U,yes,4,4,4,2,reputation,yes,1,2,no,no,0,0,14,0,11,13,9,13,9,13
M,16,U,yes,4,4,4,1,reputation,yes,1,2,yes,no,0,0,2,0,14,13,13,13,13,14
M,16,U,yes,1,1,3,5,home,yes,2,2,yes,no,0,0,18,2,9,9,7,9,6,9
M,16,U,yes,3,2,5,2,reputation,yes,2,3,no,no,0,0,10,0,11,12,9,12,10,12
M,17,U,yes,2,2,4,4,home,yes,1,2,yes,no,0,0,4,0,14,16,13,16,13,16
F,16,U,yes,2,1,4,5,home,yes,1,1,no,no,0,0,20,4,13,9,12,10,12,10
F,17,R,no,2,1,2,3,course,yes,3,2,no,no,0,0,2,2,13,13,11,13,11,13
M,18,U,yes,2,2,5,2,reputation,no,1,2,no,no,1,0,0,16,7,8,7,7,0,8
M,17,U,yes,4,3,2,5,course,yes,2,2,no,no,0,0,14,8,12,15,12,15,12,15
M,17,R,yes,4,4,3,4,course,yes,2,2,yes,no,0,0,2,0,10,12,11,12,12,12
M,16,U,yes,4,3,5,3,course,yes,1,1,no,no,0,0,0,7,6,14,0,14,0,15
M,16,U,yes,4,4,5,5,course,yes,1,1,no,yes,0,0,0,4,13,14,12,15,12,15
F,18,U,yes,2,1,4,3,course,yes,2,3,yes,no,0,0,0,10,7,12,0,10,0,11
M,16,U,yes,2,1,4,4,course,yes,3,1,no,no,0,0,6,7,18,15,18,16,18,16
M,17,U,yes,2,3,5,2,course,yes,2,1,no,no,0,0,4,2,12,9,12,12,13,13
M,22,U,yes,3,1,5,1,other,no,1,1,no,no,3,3,16,12,6,7,8,8,8,5
M,18,R,yes,3,3,4,5,course,yes,1,2,no,no,1,0,8,8,3,10,5,9,5,10
M,16,U,yes,0,2,4,5,other,yes,1,1,yes,no,0,0,0,0,13,11,15,12,15,11
M,18,U,yes,3,2,4,5,course,no,2,1,no,no,1,0,0,8,6,7,8,8,8,7
M,16,U,yes,3,3,5,2,reputation,yes,3,2,no,no,0,1,6,4,7,9,10,11,10,10
M,18,U,yes,2,1,3,5,other,no,1,1,no,no,1,2,4,4,6,7,9,8,8,6
M,16,R,no,2,1,3,3,course,yes,2,1,no,no,0,0,0,2,8,14,9,13,8,12
M,17,R,yes,2,1,4,5,course,yes,1,1,no,no,0,0,0,0,8,12,12,12,12,13
M,17,U,yes,1,1,4,5,course,yes,2,1,no,no,1,1,2,0,7,9,9,10,8,10
F,17,U,yes,4,2,4,4,reputation,yes,1,4,yes,no,0,0,6,2,14,14,12,15,13,17
M,19,U,yes,4,3,4,1,reputation,yes,1,2,no,no,0,0,12,4,11,11,11,13,11,14
M,18,U,yes,2,1,5,4,home,yes,1,2,no,no,0,0,8,2,15,16,14,16,14,16
F,17,U,yes,2,2,3,2,course,yes,1,4,yes,no,0,0,0,2,10,10,9,11,0,12
F,18,U,yes,4,3,3,2,home,yes,1,2,yes,no,0,0,21,2,17,15,18,15,18,15
M,18,U,yes,4,3,4,3,course,yes,1,2,yes,no,0,0,2,2,8,10,8,10,8,11
M,18,R,no,3,2,5,3,course,yes,1,3,no,no,0,0,1,2,13,10,12,11,12,12
F,17,U,no,3,3,3,4,home,yes,1,3,no,no,0,0,4,2,10,15,9,12,9,13
F,18,U,yes,2,2,4,3,home,yes,1,3,yes,no,0,0,0,0,9,11,10,12,0,13
M,18,R,yes,3,4,4,1,reputation,yes,2,2,yes,no,0,0,13,6,17,15,17,16,17,16
M,17,U,yes,3,1,5,5,other,yes,1,2,yes,no,0,0,2,0,9,11,9,11,10,14
F,18,R,yes,4,4,4,4,reputation,yes,2,2,yes,no,0,0,8,8,12,10,10,11,11,12
M,18,U,yes,4,2,5,5,reputation,yes,1,2,yes,no,0,0,10,4,10,10,9,12,10,14
F,18,R,yes,2,1,4,3,reputation,no,2,2,no,no,0,0,0,12,6,8,0,9,0,10
F,19,U,yes,3,3,4,5,home,yes,1,2,yes,no,2,0,15,16,9,11,9,12,9,12
F,18,U,yes,2,3,4,2,reputation,yes,1,4,yes,no,0,0,4,10,15,16,14,16,14,16
F,18,U,no,1,1,4,3,home,yes,2,2,yes,no,0,0,2,2,11,13,11,13,11,13
M,17,R,no,1,2,3,1,home,yes,1,2,yes,no,0,0,2,2,15,16,14,17,14,18
F,17,U,yes,2,4,4,1,reputation,yes,2,2,yes,no,0,0,2,6,10,15,10,16,10,16
F,17,U,yes,2,2,4,5,course,yes,2,2,yes,no,0,0,6,6,12,12,12,12,12,12
F,18,R,yes,3,2,4,5,home,no,2,2,no,no,0,0,75,15,10,12,9,9,9,10
M,18,U,yes,4,4,3,3,home,yes,2,1,yes,no,0,0,22,6,9,11,9,12,9,12
F,18,U,yes,4,4,2,4,reputation,yes,1,2,no,no,1,1,15,2,9,14,8,12,8,13
M,18,U,yes,4,3,4,1,course,yes,2,1,yes,no,0,0,8,0,10,10,11,10,10,10
M,17,U,yes,4,1,4,5,home,yes,2,1,yes,no,0,0,30,22,8,11,8,11,8,10
M,17,U,yes,3,2,4,3,home,yes,1,1,no,no,1,0,19,18,11,13,9,13,10,13
F,18,R,no,1,1,5,3,reputation,yes,2,4,yes,no,0,0,1,2,12,17,12,17,12,18
F,18,U,yes,1,1,5,4,home,yes,2,2,no,no,0,0,4,0,8,12,9,13,10,13
F,17,U,yes,2,2,5,5,course,yes,1,2,no,no,0,0,4,12,10,12,9,12,11,14
M,17,U,yes,1,1,4,4,reputation,yes,1,2,yes,no,0,0,2,0,12,12,10,12,11,12
F,18,U,yes,2,2,4,2,other,yes,1,3,yes,no,0,0,5,0,18,18,18,18,19,18
F,17,U,yes,1,1,4,3,reputation,yes,1,3,yes,no,0,0,6,0,13,13,12,13,12,14
M,18,U,yes,2,1,4,2,reputation,yes,1,3,yes,no,0,0,6,0,15,14,14,15,14,15
M,18,U,yes,4,4,5,2,reputation,yes,1,2,yes,no,0,0,9,0,15,17,13,17,15,17
M,18,U,yes,4,2,4,5,home,yes,1,2,yes,no,0,0,11,2,12,15,11,16,11,16
F,17,U,yes,4,3,4,3,reputation,yes,1,3,yes,no,0,0,0,0,15,17,15,18,15,18
F,17,R,no,3,1,3,3,reputation,yes,2,4,yes,no,0,0,6,0,18,18,18,19,18,19
M,18,R,yes,3,2,5,4,reputation,yes,2,3,yes,no,0,0,8,0,14,14,13,15,14,15
M,17,U,yes,3,3,4,5,home,yes,1,1,yes,no,0,0,4,0,14,14,12,15,11,15
F,19,U,yes,4,4,2,2,reputation,yes,2,2,yes,no,0,0,0,2,10,14,9,13,0,13
F,18,U,yes,4,3,4,2,home,yes,2,2,yes,no,0,0,10,0,10,13,8,14,8,14
F,18,U,yes,4,3,4,3,reputation,yes,1,4,yes,no,0,0,0,0,14,16,13,17,14,17
M,18,U,yes,4,4,1,1,home,yes,1,1,yes,no,0,0,5,0,16,18,15,18,16,17
F,18,U,yes,4,4,4,4,home,yes,1,2,no,yes,0,0,14,0,12,14,10,15,11,15
M,17,U,yes,4,4,4,5,home,yes,2,1,yes,no,0,0,0,0,11,12,11,13,10,13
F,17,U,yes,4,2,4,3,reputation,yes,2,3,yes,no,0,0,0,0,15,16,12,16,14,16
F,17,U,yes,3,2,5,5,reputation,yes,1,4,yes,no,0,0,0,0,17,18,17,18,18,18
M,20,U,no,3,2,5,5,course,yes,1,1,no,no,0,2,0,0,17,14,18,15,18,15
M,19,R,no,3,3,4,5,reputation,yes,1,2,no,no,1,0,0,0,15,10,12,10,12,11
F,18,U,yes,2,1,5,1,course,yes,2,2,yes,no,0,0,0,2,8,12,8,12,0,15
F,18,U,yes,4,3,4,5,course,yes,1,3,yes,no,0,0,9,2,9,14,10,15,9,17
F,17,R,yes,3,4,4,5,course,yes,1,3,yes,no,0,0,0,2,11,15,11,15,10,17
F,18,U,yes,4,4,4,5,course,yes,1,2,yes,no,0,0,2,0,11,12,11,11,11,13
F,17,U,yes,4,3,5,5,course,yes,1,2,yes,no,0,0,23,14,13,15,13,14,13,17
F,17,U,no,2,2,4,3,course,yes,1,2,no,no,0,0,12,4,11,14,9,13,9,13
F,17,R,yes,2,2,3,3,course,yes,1,3,yes,no,0,0,3,0,11,11,11,11,11,10
F,17,U,yes,3,1,3,5,course,yes,1,3,no,no,0,0,1,0,12,17,14,18,15,17
F,17,U,yes,0,2,3,2,home,yes,2,3,no,no,0,0,0,0,16,14,15,14,15,15
M,18,U,yes,4,4,4,3,course,yes,1,3,no,no,0,0,3,0,9,13,12,14,11,13
M,17,U,yes,3,3,4,5,reputation,yes,1,1,no,no,0,0,3,0,14,17,15,18,16,17
M,17,R,yes,2,2,4,4,course,yes,4,1,no,no,0,0,8,2,11,11,10,10,10,10
F,17,U,yes,4,4,5,4,course,yes,1,3,yes,no,0,0,7,0,10,13,9,12,9,13
F,17,U,yes,4,4,4,4,course,yes,2,3,yes,no,0,0,4,4,14,15,14,14,14,15
M,18,U,yes,2,2,4,5,course,yes,1,4,no,yes,0,0,2,0,9,11,8,11,8,12
F,17,R,yes,2,4,4,5,course,yes,1,3,no,no,0,0,7,0,12,15,14,15,14,15
F,18,U,yes,3,3,5,4,home,yes,1,2,no,no,0,0,0,8,7,10,0,11,0,12
F,18,U,yes,2,2,4,2,home,yes,1,2,no,no,0,0,0,0,8,10,8,9,0,12
F,18,R,no,2,2,4,4,course,yes,2,4,no,no,0,0,0,6,10,14,9,13,0,14
F,17,U,yes,3,4,4,5,course,yes,1,3,no,no,0,0,16,8,16,11,15,13,15,14
F,17,U,yes,3,2,4,2,home,yes,1,2,yes,no,0,0,0,0,7,12,8,13,0,15
F,18,U,yes,3,3,5,1,home,yes,1,4,no,no,0,0,7,4,16,14,15,14,17,15
F,17,R,yes,3,2,4,2,home,yes,1,2,yes,no,0,0,4,0,9,14,10,14,10,16
M,18,U,yes,4,4,4,2,home,yes,1,2,no,no,1,0,0,0,10,12,10,12,0,13
M,18,U,yes,3,4,4,5,home,yes,1,2,no,no,0,0,11,6,16,16,15,16,15,17
F,17,U,yes,2,2,3,4,home,yes,1,2,no,no,1,0,0,18,9,10,8,12,0,14
F,18,U,yes,2,3,4,3,course,yes,1,3,no,no,0,0,4,0,11,11,10,12,10,14
F,18,U,yes,3,2,5,1,other,yes,1,3,no,no,0,0,7,4,13,14,13,16,14,17
M,18,R,yes,4,3,5,4,course,yes,1,3,no,no,0,0,9,4,16,15,15,14,16,17
M,18,U,yes,4,3,5,5,course,yes,1,3,yes,no,0,0,0,0,10,14,10,13,9,14
F,17,U,yes,4,3,4,4,reputation,yes,1,3,yes,no,0,0,0,0,13,11,15,12,15,13
